Client_ID;Nom;Âge;Produit_Acheté;Montant_Achat;Date_Achat;Méthode_Paiement;Code_Barre;SWIFT;Latitude;Longitude;Ville;Pays
08433213;Lavoie, Amélie;23;Clé USB;539.1;25/06/2020;carte_credit;3890838637946;YZFWGB1V;43.86682;-79.2663;Markham;Canada
09511613;Martine Therrien;150;Clavier Bluetooth;1423.95;03/03/2024;virement_bancaire;7816184959316;VHYJGBFO;46.23899;-63.13414;Charlottetown;Canada
08752550;Océane Lamoureux ;25;Router Wi-Fi;437.69;14/07/2023;PayPal;1928327648356;HBZKGBZR;46.23899;-63.13414;Charlottetown;Canada
08537676;Catherine Bérubé;-5;E-book;1151.99;07/11/2023;paypal;8496965328716;DEUFGB1E;45.44868;-190.46609;Pointe-Claire;Canada
08784803;Sarah Marcoux;36;Écouteurs;1845.29,00;04/10/2021;virement_bancaire;4627048281480;ELYFGB87;45.43341;-73.86586;Beaconsfield;Canada
08701541;Henri Drolet;77;Enceinte Bluetooth;135.31;2022-12-07;PayPal;1171822782487;GRYXGBMTZX2;53.51684;-113.3187;Sherwood Park;Canada
08331502;MARTINEAU, ALAIN-BERTRAND;62;Drone;8814.75,00;2023-04-06;Virement Bancaire;3105183473829;HZPZGB0MGG1;42.8334;-80.38297;Norfolk County;Canada
09701069;HuguEs Gosselin;71;Imprimante;1407.56;25/12/2020;paypal;7262473178102;CYHFGB05;45.40008;-267.06118;Sainte-Catherine;Canada
09026063;CARRIER-DENIS, DOROTHÉE;62;Console de Jeu;657.3;12/12/2024;carte_credit;8723430980507;SPQQGBKD;255.52300;-113.3187;Sherwood Park;Canada
08191366;Victor-Xavier Ouellet;79;Caméra de Sécurité;719.52;2023-03-15;paypal;6998543534622;OKYCGBA3GE8;49.88307;-119.48568;Kelowna;Canada
09251359;Paul Trépanier;79;Imprimante;445.61;22/10/2022;paypal;4980841241182;IJTGGBVN;46.1351;-280.10657;Sydney;Canada
09740167;Alain Robert;65;Caméra de Sécurité;1225.34;26/12/2023;carte de crédit;4278680112801;SRENGBICTXC;42.8334;-80.38297;Norfolk County;Canada
08158697;Frédéric-Georges Vincent;24;Disque Dur Externe;736.97;2022-02-17;carte de crédit;2563421607336;LJZHGBOBMZV;43.86682;-298.45179;Markham;Canada
08586858;Turcotte, Jean;79;Écouteurs;1390.94;01/01/2023;Virement Bancaire;4019655698162;IBWNGBA7;53.51684;-113.3187;Sherwood Park;Canada
08615954;Laurence Houle;60;Tablette;-2545.2000000000003;13/06/2023;PayPal;5648236629944;RAJJGBN1U32;45.40008;-73.58248;Sainte-Catherine;Canada
09721487;Racine, Henri;52;Clé USB;971,43;09/08/2021;paypal;3200379176932;PMHEGBAG1OL;53.51684;-113.3187;Sherwood Park;Canada
09831728;Renée Larivière;60;Clé USB;397.45;2022-04-15;carte de crédit;8687277434879;IOCWGBSP;43.86682;-79.2663;Markham;Canada
09812239;Paquette, GuIllaume;29;Clé USB;4246.35;22/02/2022;paypal;5876036690967;ALJYGBY088O;45.40008;-73.58248;Sainte-Catherine;Canada
09670655;Provost, Raphaël;17;Projecteur;-1448.15;28/08/2020;carte de crédit;9806990162725;IMKGGB3U;184.36581;-80.38297;Norfolk County;Canada
